market,arrival_date,price
Allahabad (CC),10-01-2016,357
Patna,11-01-2016,
Pune,11-01-2016,435
Ranchi (CC),11-01-2016,
Vijayawada,11-01-2016,395
Vizag,11-01-2016,393
W.Godavari,11-01-2016,395
Warangal,11-01-2016,394
Allahabad (CC),11-01-2016,419
Raipur,11-01-2016,418
Varanasi (CC),11-01-2016,440
Surat,11-01-2016,
Luknow (CC),11-01-2016,433
Kolkata (WB),11-01-2016,417
Kanpur (CC),11-01-2016,428
Jabalpur,11-01-2016,415
Bhopal,11-01-2016,420
Namakkal,11-01-2016,402
Ahmedabad,11-01-2016,432
Mysuru,11-01-2016,414
Hospet,11-01-2016,380
Ajmer,11-01-2016,395
Asansole,11-01-2016,
Barwala,11-01-2016,403
Bengaluru (CC),11-01-2016,415
Brahmapur (OD),11-01-2016,
Burdwan (CC),11-01-2016,
Nagpur,11-01-2016,402
Chennai (CC),11-01-2016,417
Delhi (CC),11-01-2016,412
E.Godavari,11-01-2016,395
Hyderabad,11-01-2016,391
Ludhiana,11-01-2016,390
Midnapur (KOL),11-01-2016,
Mumbai (CC),11-01-2016,437
Muzaffurpur (CC),11-01-2016,
Chittoor,11-01-2016,410
Indore (CC),11-01-2016,410
Patna,12-01-2016,
Surat,12-01-2016,
Muzaffurpur (CC),12-01-2016,
Mumbai (CC),12-01-2016,410
Midnapur (KOL),12-01-2016,
Ludhiana,12-01-2016,358
Hyderabad,12-01-2016,365
E.Godavari,12-01-2016,363
Mysuru,12-01-2016,398
Asansole,12-01-2016,
Bengaluru (CC),12-01-2016,395
Brahmapur (OD),12-01-2016,
Burdwan (CC),12-01-2016,
Chennai (CC),12-01-2016,402
Chittoor,12-01-2016,395
Delhi (CC),12-01-2016,390
Barwala,12-01-2016,374
Varanasi (CC),12-01-2016,420
Nagpur,12-01-2016,367
Pune,12-01-2016,410
Raipur,12-01-2016,377
Luknow (CC),12-01-2016,420
Kolkata (WB),12-01-2016,398
Kanpur (CC),12-01-2016,409
Jabalpur,12-01-2016,381
Indore (CC),12-01-2016,390
Namakkal,12-01-2016,390
Hospet,12-01-2016,360
Allahabad (CC),12-01-2016,409
Warangal,12-01-2016,370
W.Godavari,12-01-2016,363
Vizag,12-01-2016,361
Vijayawada,12-01-2016,363
Ranchi (CC),12-01-2016,
Bhopal,12-01-2016,385
Ajmer,12-01-2016,371
Ahmedabad,12-01-2016,402
Ahmedabad,13-01-2016,430
Ranchi (CC),13-01-2016,
Vijayawada,13-01-2016,384
Vizag,13-01-2016,390
W.Godavari,13-01-2016,384
Warangal,13-01-2016,398
Allahabad (CC),13-01-2016,409
Hospet,13-01-2016,372
Indore (CC),13-01-2016,400
Jabalpur,13-01-2016,407
Kanpur (CC),13-01-2016,433
Kolkata (WB),13-01-2016,424
Luknow (CC),13-01-2016,440
Raipur,13-01-2016,417
Surat,13-01-2016,
Varanasi (CC),13-01-2016,433
Pune,13-01-2016,430
Patna,13-01-2016,
Bhopal,13-01-2016,425
Nagpur,13-01-2016,392
Namakkal,13-01-2016,402
Asansole,13-01-2016,
Barwala,13-01-2016,395
Bengaluru (CC),13-01-2016,405
Brahmapur (OD),13-01-2016,
Burdwan (CC),13-01-2016,
Chennai (CC),13-01-2016,420
Chittoor,13-01-2016,413
Ajmer,13-01-2016,386
E.Godavari,13-01-2016,384
Hyderabad,13-01-2016,395
Ludhiana,13-01-2016,385
Midnapur (KOL),13-01-2016,
Mumbai (CC),13-01-2016,435
Muzaffurpur (CC),13-01-2016,
Mysuru,13-01-2016,422
Delhi (CC),13-01-2016,410
Pune,14-01-2016,430
Ranchi (CC),14-01-2016,
Vijayawada,14-01-2016,384
Vizag,14-01-2016,390
W.Godavari,14-01-2016,384
Warangal,14-01-2016,398
Allahabad (CC),14-01-2016,409
Bhopal,14-01-2016,420
Kolkata (WB),14-01-2016,424
Indore (CC),14-01-2016,400
Jabalpur,14-01-2016,408
Kanpur (CC),14-01-2016,433
Luknow (CC),14-01-2016,440
Raipur,14-01-2016,417
Surat,14-01-2016,
Varanasi (CC),14-01-2016,433
Hospet,14-01-2016,372
Patna,14-01-2016,
Chittoor,14-01-2016,413
Nagpur,14-01-2016,392
Namakkal,14-01-2016,402
Ajmer,14-01-2016,386
Asansole,14-01-2016,
Barwala,14-01-2016,386
Bengaluru (CC),14-01-2016,405
Brahmapur (OD),14-01-2016,
Burdwan (CC),14-01-2016,
Chennai (CC),14-01-2016,420
Ahmedabad,14-01-2016,430
Delhi (CC),14-01-2016,410
E.Godavari,14-01-2016,384
Hyderabad,14-01-2016,395
Ludhiana,14-01-2016,380
Midnapur (KOL),14-01-2016,
Mumbai (CC),14-01-2016,435
Muzaffurpur (CC),14-01-2016,
Mysuru,14-01-2016,422
Ranchi (CC),15-01-2016,
Vijayawada,15-01-2016,384
Vizag,15-01-2016,390
W.Godavari,15-01-2016,384
Warangal,15-01-2016,388
Allahabad (CC),15-01-2016,405
Bhopal,15-01-2016,420
Hospet,15-01-2016,372
Kolkata (WB),15-01-2016,424
Jabalpur,15-01-2016,400
Kanpur (CC),15-01-2016,433
Pune,15-01-2016,420
Luknow (CC),15-01-2016,440
Raipur,15-01-2016,417
Surat,15-01-2016,
Varanasi (CC),15-01-2016,427
Indore (CC),15-01-2016,400
Patna,15-01-2016,
Chittoor,15-01-2016,413
Nagpur,15-01-2016,390
Ajmer,15-01-2016,386
Asansole,15-01-2016,
